,img,name,price
70,../media/cache/70/fa/70fa6c0437d9c97dbeada6bd32bf9d2c.jpg,The Art Forger,£40.76
71,../media/cache/2d/4e/2d4e358712e6c9f1d3bdd78d1a16e5a8.jpg,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73
72,../media/cache/96/db/96db61bb53930c560fb4c1c62b583816.jpg,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24
73,../media/cache/f3/4f/f34ffb24cc21c9f9f52dad4fd8f3ac21.jpg,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83
74,../media/cache/69/85/69852567cf97264a1442cbc882c84903.jpg,Soul Reader,£39.58
75,../media/cache/da/df/dadfac66a89774b46b10225362724c83.jpg,Security,£39.25
76,../media/cache/43/ae/43aee83ebb31e2122a7215e413770e5c.jpg,"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02
77,../media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg,"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04
78,../media/cache/97/f8/97f8debeeaaece9603267653076e760f.jpg,Reskilling America: Learning to Labor in the Twenty-First Century,£19.83
79,../media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40
